Community Water System,County,EOHHS Region,EP Region,Community,Water Source,# of Residential Connections,Winter / Year Round Population Served
Barnstable Fire District,Barnstable,Southeast,Cape/Islands Public Health Coalition,Barnstable,Ground Water,1970,3600
Centerville Osterville Marstons Mills Wd,Barnstable,Southeast,Cape/Islands Public Health Coalition,Barnstable,Ground Water,12300,25000
Cotuit Fire District Water Department,Barnstable,Southeast,Cape/Islands Public Health Coalition,Barnstable,Ground Water,2338,3296
"Hyannis Water System, Town Of Barnstable",Barnstable,Southeast,Cape/Islands Public Health Coalition,Barnstable,Ground Water,7202,18000
Barnstable County Jail,Barnstable,Southeast,Cape/Islands Public Health Coalition,Bourne,Purchased Ground Water,1,600
Bourne Water District,Barnstable,Southeast,Cape/Islands Public Health Coalition,Bourne,Ground Water,6452,10993
Buzzards Bay Water District,Barnstable,Southeast,Cape/Islands Public Health Coalition,Bourne,Ground Water,2573,5830
North Sagamore Water District,Barnstable,Southeast,Cape/Islands Public Health Coalition,Bourne,Ground Water,1874,3731
Schooner Pass Trustees Condominiums,Barnstable,Southeast,Cape/Islands Public Health Coalition,Bourne,Purchased Ground Water,69,136
South Sagamore Water District,Barnstable,Southeast,Cape/Islands Public Health Coalition,Bourne,Ground Water,420,1200
Brewster Water Department,Barnstable,Southeast,Cape/Islands Public Health Coalition,Brewster,Ground Water,7281,9820
Chatham Water Department,Barnstable,Southeast,Cape/Islands Public Health Coalition,Chatham,Ground Water,7188,6561
Dennis Water District,Barnstable,Southeast,Cape/Islands Public Health Coalition,Dennis,Ground Water,14416,15973
Salt Pond Cottages,Barnstable,Southeast,Cape/Islands Public Health Coalition,Eastham,Ground Water,8,32
Town Of Eastham,Barnstable,Southeast,Cape/Islands Public Health Coalition,Eastham,Ground Water,834,4904
Falmouth Water Dept.,Barnstable,Southeast,Cape/Islands Public Health Coalition,Falmouth,Ground Water,21478,33000
Otis Air National Guard Base,Barnstable,Southeast,Cape/Islands Public Health Coalition,Falmouth,Ground Water,337,3000
Harwich Water Department,Barnstable,Southeast,Cape/Islands Public Health Coalition,Harwich,Ground Water,9934,13354
Beechwood Point Condos,Barnstable,Southeast,Cape/Islands Public Health Coalition,Mashpee,Ground Water,53,88
Lakeside Estates,Barnstable,Southeast,Cape/Islands Public Health Coalition,Mashpee,Ground Water,1,70
Mashpee Water District,Barnstable,Southeast,Cape/Islands Public Health Coalition,Mashpee,Ground Water,9956,15341
Oak Hollow Condominiums,Barnstable,Southeast,Cape/Islands Public Health Coalition,Mashpee,Ground Water,16,98
Sea Oaks Condominiums,Barnstable,Southeast,Cape/Islands Public Health Coalition,Mashpee,Ground Water,19,222
Stratford Ponds Water System,Barnstable,Southeast,Cape/Islands Public Health Coalition,Mashpee,Ground Water,65,66
Orleans Water Department,Barnstable,Southeast,Cape/Islands Public Health Coalition,Orleans,Ground Water,5266,5890
Provincetown Water Department,Barnstable,Southeast,Cape/Islands Public Health Coalition,Provincetown,Ground Water,3921,2942
Sandwich Water District,Barnstable,Southeast,Cape/Islands Public Health Coalition,Sandwich,Ground Water,7067,17775
Southpoint Condominium Trust,Barnstable,Southeast,Cape/Islands Public Health Coalition,Sandwich,Ground Water,64,75
Upper Cape Regional Water Cooperative,Barnstable,Southeast,Cape/Islands Public Health Coalition,Sandwich,Ground Water,6,37500
Stones Throw Condos,Barnstable,Southeast,Cape/Islands Public Health Coalition,Truro,Ground Water,27,25
